prompt,completion
recommend a restaurant with medium expense,19
hey what's today's date,0
play metallica on shuffle,45
what is happening in the world right now,22
band name,57
geo info,49
make me a coffee please olly,56
resume the song from the audiobook by michael jackson,20
show me what time it is,0
what movies is kevin spacey in,49
do you think i should see a movie or go out to dinner,12
play the podcast entitled episode one making a murderer,58
hows it going to be today,13
how is the traffic,11
alexa look up bill information,17
turn the lights off to my room,40
can you tell me how gravity works,12
explain to me how a clock works in precise detail,12
what's around tonight,6
send me links to news articles about the protest,22
has robert sent any new emails to me,44
please tell me the date for the first day of next month,0
tell me where i should go for times,2
get me an uber please,54
what time is it right now in pacific time,0
what is the stock price of sensex right now,4
please set a reminder alarm for three p. m. on saturday,48
change my house lights color to blue,1
hey google hey call the nearest chinese restaurant for a takeaway,16
open news about b. p. oil,22
bring up my agenda,32
gather all my songs from madonna,45
play am,36
give me international news,22
why did gotse shoot mahatma gandhi,49
volume louder softer,14
take it in hand,34
where is trump from,49
what does this stitch long sleeved shirt look like,26
do i have an amazon list saved,59
open events this week,32
is there is any new emails,44
which bank will give better rate for currencies i have,10
let's have a warm glow in the front room,1
exchange rate dirham and rupees,10
can you tell me the time,0
what is available in your stock of lists,59
how old is barack obaba,49
call a cab,54
figure out what percentage thirty is of one hundred and sixty three,39
answer the email,33
remind me of my meeting tomorrow at three p. m.,50
i need more light,18
olly set up a daily reminder for me please,50
is it going to warm up soon,13
please stop for a bit,46
i would like to mute the speakers please,46
open f. m.,36
do i work on the twenty fourth,32
olly what movies are playing right now,55
send email to daddy i'll be going to the birthday party,33
which part of antarctica belongs to the us,49
i'd like to continue to the next episode,58
can you confirm that my meeting for tomorrow has been canceled,32
locate address for myrtle beach state fair,32
i need to turn the lights down,31
what is a good way to make turkey meatballs,9
may twenty two is my birthdate and i want to know the what day is twenty third may,0
show b. b. c. report of migrations,22
please put this photo on my instagram,47
it's eight at night in france what time is it in new york,38
review,43
what is the current time right now,0
find and order rasgulla of janta sweet home pvt ltd,16
show me my list,59
let me know the latest weather news,22
favorite podcast,58
what alarms are currently set,23
did i add milk to the shopping list,59
make me laugh i want to hear a joke,25
how much does the f. flat stock cost,4
can you suggest a good drama for me to watch,55
can you tell me what list i have,59
do i have anything scheduled for one p. m. next monday,32
please explain the chinese culture,12
what are the details of this event,32
please play the top forties hits on pandora,36
show me the records of sachin tendulkar,49
turn up the speakers,14
remind me of my appointment on the fifteenth,50
alexa please turn down the lights in the living room,31
set the settings to mute,46
how old is chuck norris,49
please shut the lights,40
will the pizza be here soon,3
play podcast,58
email my boss that i'm coming in late today,33
how did your day go,12
olly add lunch appointment with lisa to january second at twelve thirty p. m.,50
could you please remove my card details from wallet,53
open train ticket app,2
open alarm,48
nobody knows by pink,45
increase the volume a bit,14
change the lights to blue,1
comfortably adjust sound,29
convert five s. d. to rials,10
it's awfully dark here,41
are there any traffic delays,11
what alarms are set for this week,23
did erin send me any emails,44
let me know when there is news on the dakota pipeline,22
erase the lawn care appointment next month,30
turn my audio higher,14
start a new shopping list,21
add milk to the grocery list,21
what is the event on march nineteenth at two p. m. about,32
